name,id1,birth_date,birth_city,birth_state,birth_country,bats,throws,height_in,weight_lbs,hall_of_fame,seasons_played,career_ops,career_g,career_ab,career_h,career_hr,career_rbi,career_bb,career_war,tie_lahman_id,tie_name,relation
Bill Hall,hallb101,1979-12-28,Tupelo,MS,USA,R,R,72,210,,11,0.828,1054,3334,827,125,440,286,7.55,hallb102,,Uncle
Bill Lyons,lyonb101,1958-04-26,Alton,IL,USA,R,R,73,175,,2,0.492,88,133,26,0,6,10,-0.03,lyonj101,,Brother
Bill Mazeroski,mazeb101,1936-09-05,Wheeling,WV,USA,R,R,71,183,HOF,5,0.602,426,1357,324,14,125,105,3.61,roe-c001,,Uncle
Bill Plummer,plumb101,1947-03-21,Oakland,CA,USA,R,R,73,190,,10,0.546,367,892,168,14,82,95,-4.13,menec001,,Grandfather
Bill Robinson,robib103,1943-06-26,McKeesport,PA,USA,R,R,74,189,,14,0.782,1350,4011,1057,159,609,235,9.06,stras101,,Brother-in-Law
Bill Spiers,spieb001,1966-06-05,Orangeburg,SC,USA,L,R,74,190,,13,0.711,1252,3408,922,37,388,355,10.19,spiec001,,Uncle
Billy Conigliaro,conib101,1947-08-15,Revere,MA,USA,R,R,72,180,,5,0.74,347,1130,289,40,128,86,4.57,conit101,Tony Conigliaro,Brother
Billy Harris,harrb117,1943-11-24,Hamlet,NC,USA,L,R,72,175,,2,0.573,43,101,22,0,3,8,0.51,harrn102,,Brother
Billy Harris,harrb117,1943-11-24,Hamlet,NC,USA,L,R,72,175,,2,0.573,43,101,22,0,3,8,0.51,harrv102,Vic Harris,Brother
Billy Ripken,ripkb001,1964-12-16,Havre de Grace,MD,USA,R,R,73,180,,12,0.612,912,2729,674,20,229,174,5.93,ripkc001,Cal Ripken,Brother
Billy Ripken,ripkb001,1964-12-16,Havre de Grace,MD,USA,R,R,73,180,,12,0.612,912,2729,674,20,229,174,5.93,ripkc801,,Son
Billy Williams,willb101,1938-06-15,Whistler,AL,USA,L,R,73,175,HOF,9,0.855,1342,4939,1428,228,813,595,30.23,willm102,Matt Williams,Son
Blaze Alexander,alexb001,1999-06-11,Cape Coral,FL,USA,R,R,72,160,,2,0.688,135,396,94,10,49,37,1.69,alexc001,CJ Alexander,Brother
Blaze Alexander,alexb001,1999-06-11,Cape Coral,FL,USA,R,R,72,160,,2,0.688,135,396,94,10,49,37,1.69,plesd001,,Nephew
Blaze Alexander,alexb001,1999-06-11,Cape Coral,FL,USA,R,R,72,160,,2,0.688,135,396,94,10,49,37,1.69,plesz001,,Cousin
Bo Bichette,bichb001,1998-03-05,Orlando,FL,USA,R,R,72,190,,7,0.806,748,3075,904,111,437,187,20.82,bichd001,Dante Bichette,Son
Bo Jackson,jackb002,1962-11-30,Bessemer,AL,USA,R,R,73,220,,8,0.784,694,2393,598,141,415,200,8.28,jackd004,Darrin Jackson,Brother
Bo Naylor,naylb001,2000-02-21,Mississauga,ON,CAN,L,R,72,205,,4,0.67,318,919,188,38,118,104,3.51,naylj001,Josh Naylor,Brother
Bo Naylor,naylb001,2000-02-21,Mississauga,ON,CAN,L,R,72,205,,4,0.67,318,919,188,38,118,104,3.51,clard004,Doug Clarey,Cousin
Bob Adams,adamb103,1952-01-06,Pittsburgh,PA,USA,R,R,74,200,,1,0.792,15,24,6,2,2,0,-0.04,adamm102,Mike Adams,Father
Bob Adams,adamb103,1952-01-06,Pittsburgh,PA,USA,R,R,74,200,,1,0.792,15,24,6,2,2,0,-0.04,adamd102,Doug Adams,Brother
Bob Allison,allib102,1934-07-11,Raytown,MO,USA,R,R,75,205,,3,0.761,273,730,174,31,86,95,2.28,allia102,,Brother
Bob Aspromonte,asprb101,1938-06-19,Brooklyn,NY,USA,R,R,74,170,,4,0.576,372,1076,246,9,110,90,-3.59,asprk101,,Brother
Bob Boone,boonb001,1947-11-19,San Diego,CA,USA,R,R,74,195,,19,0.661,2264,7245,1838,105,826,663,27.41,boona001,Aaron Boone,Father
Bob Boone,boonb001,1947-11-19,San Diego,CA,USA,R,R,74,195,,19,0.661,2264,7245,1838,105,826,663,27.41,boonb002,Bret Boone,Father
